Unnamed: 0,indonesian,english,contoh_penggunaan
0,abu,ash,Meja itu penuh dengan abu rokok.
1,abu,char,Meja itu penuh dengan abu rokok.
2,abu,cinder,Meja itu penuh dengan abu rokok.
3,abu,dust,Meja itu penuh dengan abu rokok.
4,adopsi,adoption,Mereka memutuskan untuk melakukan adopsi anak.
5,aduh,oh god,"Aduh, kakiku terbentur meja!"
6,aduh,oh man,"Aduh, kakiku terbentur meja!"
7,aduh,oh no,"Aduh, kakiku terbentur meja!"
8,aduh,oof,"Aduh, kakiku terbentur meja!"
9,aduh,ouch,"Aduh, kakiku terbentur meja!"
10,aduh,ow,"Aduh, kakiku terbentur meja!"
11,aktif,active,Dia sangat aktif dalam organisasi sekolah.
12,aktif,dynamic,Dia sangat aktif dalam organisasi sekolah.
13,aktif,lively,Dia sangat aktif dalam organisasi sekolah.
14,aku,i,Aku sedang belajar bahasa Inggris.
15,aku,me,Aku sedang belajar bahasa Inggris.
16,alam,essence,Kita harus menjaga kelestarian alam.
17,alam,nature,Kita harus menjaga kelestarian alam.
18,alasan,argument,Apa alasan kamu datang terlambat?
19,alasan,cause,Apa alasan kamu datang terlambat?
20,alasan,excuse,Apa alasan kamu datang terlambat?
21,alasan,ground,Apa alasan kamu datang terlambat?
22,alasan,motivation,Apa alasan kamu datang terlambat?
23,alasan,motive,Apa alasan kamu datang terlambat?
24,alasan,rationale,Apa alasan kamu datang terlambat?
25,alasan,reason,Apa alasan kamu datang terlambat?
26,alasan,reasoning,Apa alasan kamu datang terlambat?
27,aman,peaceful,Pastikan rumah sudah aman sebelum pergi.
28,aman,safe,Pastikan rumah sudah aman sebelum pergi.
29,aman,secure,Pastikan rumah sudah aman sebelum pergi.
30,amat,disturbingly,Pemandangan ini amat indah.
31,amat,enormous,Pemandangan ini amat indah.
32,amat,exceedingly,Pemandangan ini amat indah.
33,amat,extremely,Pemandangan ini amat indah.
34,amat,greatly,Pemandangan ini amat indah.
35,amat,incredibly,Pemandangan ini amat indah.
36,amat,most,Pemandangan ini amat indah.
37,amat,really,Pemandangan ini amat indah.
38,amat,so,Pemandangan ini amat indah.
39,amat,super,Pemandangan ini amat indah.
40,amat,terribly,Pemandangan ini amat indah.
41,amat,tremendous,Pemandangan ini amat indah.
42,amat,vastly,Pemandangan ini amat indah.
43,amat,very,Pemandangan ini amat indah.
44,amat,well,Pemandangan ini amat indah.
45,amat,wonderfully,Pemandangan ini amat indah.
46,ambil,get,Tolong ambil buku itu di atas meja.
47,ambil,grab,Tolong ambil buku itu di atas meja.
48,ambil,pick up,Tolong ambil buku itu di atas meja.
49,ambil,take,Tolong ambil buku itu di atas meja.
50,ancam,intimidate,Jangan coba-coba ancam saya.
51,ancam,scare off,Jangan coba-coba ancam saya.
52,ancam,snarl,Jangan coba-coba ancam saya.
53,ancam,threaten,Jangan coba-coba ancam saya.
54,ancaman,danger,Ancaman banjir masih menghantui warga.
55,ancaman,intimidation,Ancaman banjir masih menghantui warga.
56,ancaman,menace,Ancaman banjir masih menghantui warga.
57,ancaman,scare tactics,Ancaman banjir masih menghantui warga.
58,ancaman,threat,Ancaman banjir masih menghantui warga.
59,aneh,abnormal,Suara itu terdengar sangat aneh.
60,aneh,bizarre,Suara itu terdengar sangat aneh.
61,aneh,curious,Suara itu terdengar sangat aneh.
62,aneh,eccentric,Suara itu terdengar sangat aneh.
63,aneh,funny,Suara itu terdengar sangat aneh.
64,aneh,odd,Suara itu terdengar sangat aneh.
65,aneh,peculiar,Suara itu terdengar sangat aneh.
66,aneh,quaint,Suara itu terdengar sangat aneh.
67,aneh,strange,Suara itu terdengar sangat aneh.
68,aneh,uncanny,Suara itu terdengar sangat aneh.
69,aneh,unusual,Suara itu terdengar sangat aneh.
70,aneh,weird,Suara itu terdengar sangat aneh.
71,anehnya,abnormally,"Anehnya, dia tidak datang hari ini."
72,anehnya,bizarrely,"Anehnya, dia tidak datang hari ini."
73,anehnya,eccentricly,"Anehnya, dia tidak datang hari ini."
74,anehnya,oddly,"Anehnya, dia tidak datang hari ini."
75,anehnya,peculiarly,"Anehnya, dia tidak datang hari ini."
76,anehnya,strangely,"Anehnya, dia tidak datang hari ini."
77,anehnya,unusually,"Anehnya, dia tidak datang hari ini."
78,anehnya,weirdly,"Anehnya, dia tidak datang hari ini."
79,anggun,elegant,Dia terlihat sangat anggun dengan gaun itu.
80,anggun,graceful,Dia terlihat sangat anggun dengan gaun itu.
81,anggun,prim,Dia terlihat sangat anggun dengan gaun itu.
82,anggun,proper,Dia terlihat sangat anggun dengan gaun itu.
83,anti,anti,Saya anti terhadap kekerasan.
84,anti,anti-,Saya anti terhadap kekerasan.
85,anti,contra-,Saya anti terhadap kekerasan.
